Date,eth_z
2018-11-13,-1.3274591725110227
2018-11-14,-1.3646788771076213
2018-11-15,-1.3417410811031356
2018-11-16,-1.366061369838934
2018-11-17,-1.3665752155850432
2018-11-18,-1.3550517806052007
2018-11-19,-1.3910078835351591
2018-11-20,-1.4484192177996762
2018-11-21,-1.42382321503847
2018-11-22,-1.449892486111314
2018-11-23,-1.4734005922038362
2018-11-24,-1.4252182772682056
2018-11-25,-1.4278129731690226
2018-11-26,-1.4384511730258025
2018-11-27,-1.4266619585482287
2018-11-28,-1.4226607494030457
2018-11-29,-1.4760036066303062
2018-11-30,-1.4392577173612462
2018-12-01,-1.4356640311549034
2018-12-02,-1.4327588451429896
2018-12-03,-1.4348880621418945
2018-12-04,-1.4360886131594892
2018-12-05,-1.4571455258336252
2018-12-06,-1.5111217348956754
2018-12-07,-1.457665208808666
2018-12-08,-1.4916817367007682
2018-12-09,-1.4982625903577862
2018-12-10,-1.503962592271012
2018-12-11,-1.511362774178581
2018-12-12,-1.5069459107025063
2018-12-13,-1.495412975160457
2018-12-14,-1.4952232024163943
2018-12-15,-1.4870651662611294
2018-12-16,-1.4782544907962516
2018-12-17,-1.447259520481112
2018-12-18,-1.4194863886950544
2018-12-19,-1.4280016776242712
2018-12-20,-1.374858004596112
2018-12-21,-1.3690164285661484
2018-12-22,-1.3206235607972883
2018-12-23,-1.1587636149346467
2018-12-24,-1.0818345007345505
2018-12-25,-1.093035080810693
2018-12-26,-1.083211470574698
2018-12-27,-1.1789805051856246
2018-12-28,-1.0375802105333154
2018-12-29,-0.9891332108371614
2018-12-30,-0.9833805818328348
2018-12-31,-1.0034446074383834
2019-01-01,-0.9565100194856384
2019-01-02,-0.8377055374420445
2019-01-03,-0.853318327537039
2019-01-04,-0.7982457570463874
2019-01-05,-0.7781790429619311
2019-01-06,-0.8514697766332276
2019-01-07,-0.8903092727619335
2019-01-08,-0.901978175555997
2019-01-09,-0.8941111671648858
2019-01-10,-0.9921531835545732
2019-01-11,-1.0027025976893518
2019-01-12,-1.0054384765761435
2019-01-13,-1.0651822445723056
2019-01-14,-0.977541525876246
2019-01-15,-1.025028540895112
2019-01-16,-1.0115730101959908
2019-01-17,-1.0134354929822176
2019-01-18,-1.0323185085393634
2019-01-19,-1.0133663444144836
2019-01-20,-1.0175864678447206
2019-01-21,-1.0305071690886076
2019-01-22,-1.0174373477541168
2019-01-23,-1.0202560066028306
2019-01-24,-1.022655324450976
2019-01-25,-1.0293239660335478
2019-01-26,-1.0241988440833762
2019-01-27,-1.0502561223129712
2019-01-28,-1.0881544823895597
2019-01-29,-1.0886606960209395
2019-01-30,-1.057945350587768
2019-01-31,-1.068120211633713
2019-02-01,-1.071735872600301
2019-02-02,-1.0451005270242277
2019-02-03,-1.0574978950041622
2019-02-04,-1.0475168892135185
2019-02-05,-1.0520540674158114
2019-02-06,-1.0611767287828522
2019-02-07,-1.056818631975566
2019-02-08,-0.9691838893468281
2019-02-09,-0.9657983662778111
2019-02-10,-0.9007364974804207
2019-02-11,-0.9252310702006473
2019-02-12,-0.90704776857868
2019-02-13,-0.8942900408147116
2019-02-14,-0.8996837702248329
2019-02-15,-0.8878091814752873
2019-02-16,-0.8721686388346912
2019-02-17,-0.7482217780048926
2019-02-18,-0.6968069716375194
2019-02-19,-0.7169134234116867
2019-02-20,-0.6841163856842208
2019-02-21,-0.7016114666526799
2019-02-22,-0.6839234139936823
2019-02-23,-0.6234516047686673
2019-02-24,-0.7553071361844277
2019-02-25,-0.7328837362940493
2019-02-26,-0.7380585038883141
2019-02-27,-0.7582838997328654
2019-02-28,-0.7474216977258746
2019-03-01,-0.7493362086352555
2019-03-02,-0.7770786034583982
2019-03-03,-0.790824043011942
2019-03-04,-0.8073638383379567
2019-03-05,-0.7299261690919399
2019-03-06,-0.7162124206826486
2019-03-07,-0.7254674498347059
2019-03-08,-0.7550808478509241
2019-03-09,-0.7416269880911591
2019-03-10,-0.7478223356203243
2019-03-11,-0.7611355184962836
2019-03-12,-0.7502887235656736
2019-03-13,-0.7606385477678946
2019-03-14,-0.7582315405115884
2019-03-15,-0.7172112018713135
2019-03-16,-0.6911973864818814
2019-03-17,-0.7076784147613272
2019-03-18,-0.7151284618110131
2019-03-19,-0.7135309171907765
2019-03-20,-0.7146761106322425
2019-03-21,-0.7376729705098787
2019-03-22,-0.7240171777788388
2019-03-23,-0.711474171204509
2019-03-24,-0.7179674221891628
2019-03-25,-0.7132256234977352
2019-03-26,-0.7136818432208905
2019-03-27,-0.6832481825222819
2019-03-28,-0.6922918748928758
2019-03-29,-0.6621743722807969
2019-03-30,-0.6677115323853625
2019-03-31,-0.6712217426324577
2019-04-01,-0.6871060106672944
2019-04-02,-0.710829815744467
2019-04-03,-0.7673225231884169
2019-04-04,-0.7826679235915228
2019-04-05,-0.7387745794787787
2019-04-06,-0.7385497345040347
2019-04-07,-0.6939648612650277
2019-04-08,-0.6636263196293248
2019-04-09,-0.67275597407637
2019-04-10,-0.69701725544283
2019-04-11,-0.726255380612014
2019-04-12,-0.7385484879023746
2019-04-13,-0.7390584900447629
2019-04-14,-0.7243163746711409
2019-04-15,-0.7514400543903893
2019-04-16,-0.7402921789606671
2019-04-17,-0.7481163358024987
2019-04-18,-0.6898650441739511
2019-04-19,-0.6884416276810108
2019-04-20,-0.6948529301633102
2019-04-21,-0.7200985047020662
2019-04-22,-0.7244822145977212
2019-04-23,-0.7770381305973831
2019-04-24,-0.7952514801656321
2019-04-25,-0.8282465320384917
2019-04-26,-0.8251658177828043
2019-04-27,-0.7958662141770533
2019-04-28,-0.8081921684342246
2019-04-29,-0.8136664360166621
2019-04-30,-0.7695157408444931
2019-05-01,-0.7945449387208723
2019-05-02,-0.8074660695995295
2019-05-03,-0.8216341353982283
2019-05-04,-0.8720692874748344
2019-05-05,-0.8644153877529641
2019-05-06,-0.7582798349862031
2019-05-07,-0.8056174387034203
2019-05-08,-0.8329802613242354
2019-05-09,-0.8854913297830205
2019-05-10,-0.9065379556515681
2019-05-11,-0.9128451146805886
2019-05-12,-0.9151316152544612
2019-05-13,-1.0091272894568828
2019-05-14,-0.8916417723373323
2019-05-15,-0.7153453250663597
2019-05-16,-0.5134662009112059
2019-05-17,-0.5266758885039385
2019-05-18,-0.578578328196483
2019-05-19,-0.5985700926574449
2019-05-20,-0.6137109229118365
2019-05-21,-0.5805996758152918
2019-05-22,-0.5884326300834033
2019-05-23,-0.6254295925908723
2019-05-24,-0.6199722833319882
2019-05-25,-0.6143554099072686
2019-05-26,-0.640970353434989
2019-05-27,-0.6247997750360631
2019-05-28,-0.6091173760124569
2019-05-29,-0.6084785057104758
2019-05-30,-0.6284412869514017
2019-05-31,-0.5907789629334496
2019-06-01,-0.6056819989008663
2019-06-02,-0.6075532779681717
2019-06-03,-0.6135251455116495
2019-06-04,-0.5732902758116197
2019-06-05,-0.5516390856105383
2019-06-06,-0.5258309267254473
2019-06-07,-0.5715661881916974
2019-06-08,-0.5897289014295966
2019-06-09,-0.6283296669410425
2019-06-10,-0.5800862482017938
2019-06-11,-0.5721144994540367
2019-06-12,-0.4922224276715098
2019-06-13,-0.5564830430327897
2019-06-14,-0.6101865192208134
2019-06-15,-0.602583725103289
2019-06-16,-0.6391378661629755
2019-06-17,-0.6759833959843166
2019-06-18,-0.6941816372547326
2019-06-19,-0.7040209854749272
2019-06-20,-0.7475472539313472
2019-06-21,-0.7013244927682215
2019-06-22,-0.7140733285769549
2019-06-23,-0.7611575436064363
2019-06-24,-0.7748732477174624
2019-06-25,-0.8813115821100163
2019-06-26,-0.9798172513106239
2019-06-27,-0.9406983499732602
2019-06-28,-1.0539680336539938
2019-06-29,-0.8995917209616651
2019-06-30,-0.8898358953686126
2019-07-01,-0.8076488082353138
2019-07-02,-0.881077095682615
2019-07-03,-1.0450459617316568
2019-07-04,-1.0455727314227001
2019-07-05,-0.9624789906502398
2019-07-06,-1.0257283499905874
2019-07-07,-0.9219344776728262
2019-07-08,-1.055479892529341
2019-07-09,-1.1633524570153186
2019-07-10,-1.2483177110616475
2019-07-11,-1.280320562406813
2019-07-12,-1.3217527364329582
2019-07-13,-1.3022093504749366
2019-07-14,-1.4901546412943605
2019-07-15,-1.6439165960092355
2019-07-16,-1.6781018212823093
2019-07-17,-1.5968683710498932
2019-07-18,-1.6872039980559117
2019-07-19,-1.7293323366862798
2019-07-20,-1.7047282180842545
2019-07-21,-1.7174295500249532
2019-07-22,-1.7671419444320065
2019-07-23,-1.7116250250861356
2019-07-24,-1.6268341324237705
2019-07-25,-1.6296150260157956
2019-07-26,-1.6259071785905148
2019-07-27,-1.6901885892270967
2019-07-28,-1.6658887734383954
2019-07-29,-1.6624460973005841
2019-07-30,-1.715137567477922
2019-07-31,-1.7615758247260296
2019-08-01,-1.8886228938941092
2019-08-02,-1.9346762580443158
2019-08-03,-1.9749323489556818
2019-08-04,-2.040945482044823
2019-08-05,-2.1446948607196354
2019-08-06,-2.2011414370853504
2019-08-07,-2.3555298813651375
2019-08-08,-2.472950640861797
2019-08-09,-2.6315196050362326
2019-08-10,-2.5650728823112807
2019-08-11,-2.471085763532049
2019-08-12,-2.5150797803912823
2019-08-13,-2.3915688846151872
2019-08-14,-2.4945958432726885
2019-08-15,-2.536913804203711
2019-08-16,-2.604117960148375
2019-08-17,-2.5497662933877083
2019-08-18,-2.416615243336661
2019-08-19,-2.4498707295201854
2019-08-20,-2.503124054043676
2019-08-21,-2.455875021089514
2019-08-22,-2.35327435618832
2019-08-23,-2.3743517881545393
2019-08-24,-2.336614560693204
2019-08-25,-2.39842641032639
2019-08-26,-2.422124672786206
2019-08-27,-2.3685420840022444
2019-08-28,-2.465997655500747
2019-08-29,-2.4482433428947354
2019-08-30,-2.474607516551096
2019-08-31,-2.3940604806751677
2019-09-01,-2.438459290393188
2019-09-02,-2.4866238791592354
2019-09-03,-2.5301498385903654
2019-09-04,-2.5599424314326646
2019-09-05,-2.5560866826306397
2019-09-06,-2.5380709756092763
2019-09-07,-2.410962081097927
2019-09-08,-2.3083842225767244
2019-09-09,-2.256166187034004
2019-09-10,-2.18985374115289
2019-09-11,-2.2080859805969415
2019-09-12,-2.218341762312797
2019-09-13,-2.180597640130632
2019-09-14,-2.0404157292826244
2019-09-15,-1.9912234699216402
2019-09-16,-1.8278371298497587
2019-09-17,-1.606320262161682
2019-09-18,-1.5328449318560189
2019-09-19,-1.3791015560940505
2019-09-20,-1.394813151338173
2019-09-21,-1.3707029795453125
2019-09-22,-1.45008364256944
2019-09-23,-1.4855126436675887
2019-09-24,-1.6928798752154783
2019-09-25,-1.5716057055909438
2019-09-26,-1.4924017459218393
2019-09-27,-1.373483074609275
2019-09-28,-1.365470174719462
2019-09-29,-1.3800820235862257
2019-09-30,-1.2607647822935852
2019-10-01,-1.3276416258417656
2019-10-02,-1.272728601644041
2019-10-03,-1.3201685925144273
2019-10-04,-1.251382234133948
2019-10-05,-1.232918678954784
2019-10-06,-1.220752360221444
2019-10-07,-1.1611316363849438
2019-10-08,-1.1297021280641983
2019-10-09,-1.0608867382003564
2019-10-10,-1.0833647683631347
2019-10-11,-1.143051579776124
2019-10-12,-1.179069003117699
2019-10-13,-1.1402834387736116
2019-10-14,-1.0591848303872502
2019-10-15,-1.0902047643932398
2019-10-16,-1.1243423256087581
2019-10-17,-1.102028472897282
2019-10-18,-1.1286584116984528
2019-10-19,-1.144564757223199
2019-10-20,-1.1880683575731525
2019-10-21,-1.2033925967667545
2019-10-22,-1.1782616610513068
2019-10-23,-1.1245886729409926
2019-10-24,-1.113584356970181
2019-10-25,-1.2213468059152595
2019-10-26,-1.4649655202814267
2019-10-27,-1.4828122673770214
2019-10-28,-1.3998888997162824
2019-10-29,-1.3163239252998937
2019-10-30,-1.3295967220583935
2019-10-31,-1.332576280592836
2019-11-01,-1.3465034757851868
2019-11-02,-1.361482796222969
2019-11-03,-1.3487395073117894
2019-11-04,-1.3332762769321596
2019-11-05,-1.2498296160940812
2019-11-06,-1.2093729206490407
2019-11-07,-1.2324866620007153
2019-11-08,-1.1217607439364126
2019-11-09,-1.103848016610534
2019-11-10,-1.1090678089714692
2019-11-11,-1.0613983897417736
2019-11-12,-1.053229538163181
2019-11-13,-1.0185487529051662
2019-11-14,-1.0153314294576672
2019-11-15,-1.0263268207806506
2019-11-16,-0.9910234539054446
2019-11-17,-0.9634300711923891
2019-11-18,-0.9342577053340502
2019-11-19,-0.9465065043139363
2019-11-20,-0.8996325872565606
2019-11-21,-1.0180422246085987
2019-11-22,-1.0987331697067184
2019-11-23,-1.0704149893898445
2019-11-24,-1.1407646576616899
2019-11-25,-1.0980259495222784
2019-11-26,-1.070388384839754
2019-11-27,-1.1164581711631256
2019-11-28,-1.1088112730420536
2019-11-29,-1.1544804438150265
2019-11-30,-1.1264323011126087
2019-12-01,-1.0874290898498402
2019-12-02,-1.0832621408584144
2019-12-03,-1.1012139551473952
2019-12-04,-1.0924377810178538
2019-12-05,-1.1186589472767205
2019-12-06,-1.1564642716279587
2019-12-07,-1.1637378327864705
2019-12-08,-1.1103135158385793
2019-12-09,-1.1009045654456537
2019-12-10,-1.0857267018987449
2019-12-11,-1.1125539506770057
2019-12-12,-1.0762324558673133
2019-12-13,-1.0974607733172657
2019-12-14,-1.0753487214830535
2019-12-15,-1.0777711047844105
2019-12-16,-1.1871201267515559
2019-12-17,-1.3064474785041011
2019-12-18,-1.3262151021269981
2019-12-19,-1.3707353336680286
2019-12-20,-1.3744727468729125
2019-12-21,-1.3760373036382076
2019-12-22,-1.3976717093849724
2019-12-23,-1.4100489279050614
2019-12-24,-1.3805503760731705
2019-12-25,-1.4094238854022219
2019-12-26,-1.3899883761498069
2019-12-27,-1.3823744828159468
2019-12-28,-1.3618329348905132
2019-12-29,-1.2610292482202001
2019-12-30,-1.2498368488873284
2019-12-31,-1.2688820032380286
2020-01-01,-1.2400421324989757
2020-01-02,-1.224279133078808
2020-01-03,-1.21515956919119
2020-01-04,-1.217458576082905
2020-01-05,-1.188992228513709
2020-01-06,-1.155582612068631
2020-01-07,-1.304093641331775
2020-01-08,-1.3138689660662193
2020-01-09,-1.283787967300316
2020-01-10,-1.278728937632649
2020-01-11,-1.2479756862831017
2020-01-12,-1.2377197839274885
2020-01-13,-1.245881796784136
2020-01-14,-1.069427341324695
2020-01-15,-1.0519098653565178
2020-01-16,-1.051137542275111
2020-01-17,-1.001352636667718
2020-01-18,-0.920221735242117
2020-01-19,-0.9828615367677903
2020-01-20,-0.9579242097047891
2020-01-21,-0.9370232639123943
2020-01-22,-0.9344650552045094
2020-01-23,-0.9302228043240546
2020-01-24,-0.9368933482740545
2020-01-25,-0.9368235193701074
2020-01-26,-0.888066388849844
2020-01-27,-0.9409295712194783
2020-01-28,-0.9891757147803437
2020-01-29,-0.9927381688943797
2020-01-30,-0.8874855296690518
2020-01-31,-0.9070885092701099
2020-02-01,-0.8568439409022666
2020-02-02,-0.7525843910916242
2020-02-03,-0.7096196835703067
2020-02-04,-0.6764165373225133
2020-02-05,-0.5725237254446557
2020-02-06,-0.4770450686291849
2020-02-07,-0.3287442816074772
2020-02-08,-0.3436776137493107
2020-02-09,-0.3440735481028061
2020-02-10,-0.32680070615922174
2020-02-11,-0.2546325912438987
2020-02-12,0.16668153351307266
2020-02-13,0.258457665839291
2020-02-14,0.4746229796341395
2020-02-15,0.3503286847394547
2020-02-16,0.25586972294689975
2020-02-17,0.478303840003644
2020-02-18,0.536594131602188
2020-02-19,0.4058311507594138
2020-02-20,0.3933128153895499
2020-02-21,0.49600168528046956
2020-02-22,0.4577853798917991
2020-02-23,0.5400973164377794
2020-02-24,0.529292650465388
2020-02-25,0.37286332029003066
2020-02-26,0.21732449081161953
2020-02-27,0.2622350301620977
2020-02-28,0.3261796175850764
2020-02-29,0.23074030499499498
2020-03-01,0.23762955828527937
2020-03-02,0.31715398427969893
2020-03-03,0.242655778357
2020-03-04,0.26639596630317286
2020-03-05,0.20299679233567486
2020-03-06,0.4679020475313033
2020-03-07,0.4740919137351274
2020-03-08,0.12811795308320054
2020-03-09,0.26857172727672046
2020-03-10,0.25425845499289906
2020-03-11,0.12185320744427819
2020-03-12,-0.24814500169788994
2020-03-13,0.0054833517980624625
2020-03-14,-0.031949103915203954
2020-03-15,-0.11840545127314411
2020-03-16,-0.3331672321315054
2020-03-17,-0.37655477382195973
2020-03-18,-0.34935857300857104
2020-03-19,-0.31788455203747096
2020-03-20,-0.4387298804008718
2020-03-21,-0.4225444288692497
2020-03-22,-0.481037570024053
2020-03-23,-0.5013932133047845
2020-03-24,-0.5806033474521766
2020-03-25,-0.6198256585859069
2020-03-26,-0.5729322124045859
2020-03-27,-0.5484435477435333
2020-03-28,-0.48730621870178353
2020-03-29,-0.4377632893860595
2020-03-30,-0.543375285632913
2020-03-31,-0.5229990165537787
2020-04-01,-0.5643177811915757
2020-04-02,-0.4814947945185514
2020-04-03,-0.4360403773950816
2020-04-04,-0.42249354456458244
2020-04-05,-0.4198370740795527
2020-04-06,0.037973498779571103
2020-04-07,-0.009818303299779924
2020-04-08,0.11229216781142204
2020-04-09,0.0865890223482486
2020-04-10,0.022869053764488164
2020-04-11,0.027087553363840482
2020-04-12,0.04381673932025152
2020-04-13,-0.013891801089083743
2020-04-14,0.03691913777551983
2020-04-15,0.05310203408886687
2020-04-16,0.3121442223295884
2020-04-17,0.31913993322769935
2020-04-18,0.688372283899374
2020-04-19,0.5828020070915272
2020-04-20,0.5379621038860426
2020-04-21,0.5619743267547123
2020-04-22,0.6979953840940187
2020-04-23,0.5255294580492718
2020-04-24,0.5679037113713303
2020-04-25,0.755520126979588
2020-04-26,0.7286979926525896
2020-04-27,0.6393575572925818
2020-04-28,0.6720906161490541
2020-04-29,0.49367215580075907
2020-04-30,0.33465270085621907
2020-05-01,0.3856067291422754
2020-05-02,0.33884676492043025
2020-05-03,0.28153298884460654
2020-05-04,0.19915693256277253
2020-05-05,0.108175143896414
2020-05-06,-0.1234697761374569
2020-05-07,-0.28943962379088195
2020-05-08,-0.20911248489402043
2020-05-09,-0.10170174747636049
2020-05-10,-0.2280385920052335
2020-05-11,-0.20596549464105227
2020-05-12,-0.2315852201280104
2020-05-13,-0.23159960156338164
2020-05-14,-0.38798387932120465
2020-05-15,-0.3524343187895637
2020-05-16,-0.23654531208998797
2020-05-17,-0.2256742163784607
2020-05-18,-0.05333310407541774
2020-05-19,-0.0775951539155798
2020-05-20,-0.03812186443329318
2020-05-21,-0.04545176674516148
2020-05-22,0.11134062234391974
2020-05-23,0.14635916883831354
2020-05-24,0.2540942348136029
2020-05-25,0.27043134188201046
2020-05-26,0.22276290042191413
2020-05-27,0.2020361335923425
2020-05-28,0.3049137117025355
2020-05-29,0.4005253741181625
2020-05-30,0.8789532487755264
2020-05-31,0.7238556729146787
2020-06-01,0.6999133835598228
2020-06-02,0.8910258837736535
2020-06-03,1.0241730716127497
2020-06-04,0.9346440432363229
2020-06-05,0.9570200163321771
2020-06-06,1.0048549687600037
2020-06-07,1.0391536319382904
2020-06-08,1.0794023427310067
2020-06-09,1.0296757174859235
2020-06-10,1.0683234197091305
2020-06-11,1.0192009185477973
2020-06-12,1.1016271029536426
2020-06-13,1.1726435568646472
2020-06-14,1.0967394138248876
2020-06-15,0.9018385043891999
2020-06-16,1.0003577239397945
2020-06-17,1.0140070067876539
2020-06-18,1.0544821542976972
2020-06-19,0.9924362705931142
2020-06-20,1.0454329820608377
2020-06-21,1.0742691589488367
2020-06-22,1.274273192754504
2020-06-23,1.3632378948891675
2020-06-24,1.3546498130858733
2020-06-25,1.293691672003838
2020-06-26,1.268713359364615
2020-06-27,1.1167440746130313
2020-06-28,1.1211717769144178
2020-06-29,1.194725002739432
2020-06-30,1.180942808016476
2020-07-01,1.2905340218432986
2020-07-02,1.3282124738522043
2020-07-03,1.2023359253330217
2020-07-04,1.3109685972134333
2020-07-05,1.3150693076405096
2020-07-06,1.5698479803387704
2020-07-07,1.5986204330391067
2020-07-08,1.7142243868631812
2020-07-09,1.717818165706106
2020-07-10,1.628200296942744
2020-07-11,1.5996530251633305
2020-07-12,1.6616291088187223
2020-07-13,1.5856124836026633
2020-07-14,1.5997111913680502
2020-07-15,1.5703658478180706
2020-07-16,1.4337218451569178
2020-07-17,1.371786685831
2020-07-18,1.4629819553151044
2020-07-19,1.5448339258911137
2020-07-20,1.465976986090801
2020-07-21,1.5878185643711562
2020-07-22,2.06976803103471
2020-07-23,2.4522228778718076
2020-07-24,2.635282048538012
2020-07-25,3.327501165983705
2020-07-26,3.216634238397623
2020-07-27,2.503391311987122
2020-07-28,2.3981692556272165
2020-07-29,2.2577818535742806
2020-07-30,2.70457241125033
2020-07-31,2.7988457023564854
2020-08-01,3.46061028682055
2020-08-02,3.6318683878283777
2020-08-03,3.799903993751029
2020-08-04,3.8458563759535145
2020-08-05,3.587922985996125
2020-08-06,3.3324041811260896
2020-08-07,3.0469190196503457
2020-08-08,3.2284172650747323
2020-08-09,3.1715302213335796
2020-08-10,3.0757347010046208
2020-08-11,3.031946895177519
2020-08-12,3.097660340298541
2020-08-13,3.734262388921268
2020-08-14,3.855578733284155
2020-08-15,3.613493308041121
2020-08-16,3.5324793029462587
2020-08-17,3.1199166675389978
2020-08-18,3.1399650661127163
2020-08-19,2.9095510027193074
2020-08-20,2.9863047468601462
2020-08-21,2.592424889579624
2020-08-22,2.6370618296792228
2020-08-23,2.5285892922824793
2020-08-24,2.75694582470689
2020-08-25,2.522026438196816
2020-08-26,2.461531483451329
2020-08-27,2.4705604201951927
2020-08-28,2.558694843735713
2020-08-29,2.633207719252932
2020-08-30,3.0043052371574737
2020-08-31,3.1073727113970606
2020-09-01,3.6154172180315207
2020-09-02,3.2773483760976534
2020-09-03,3.0380851885791182
2020-09-04,2.850464539782601
2020-09-05,1.9934664782111995
