Date,sol_z
2021-08-17,2.8413599309105053
2021-08-18,3.2996786051993783
2021-08-19,3.0769920188966915
2021-08-20,3.1302965403188767
2021-08-21,2.8512825054815107
2021-08-22,2.728550403857634
2021-08-23,2.827172924397638
2021-08-24,2.6695511300516257
2021-08-25,2.606230422090004
2021-08-26,2.9124305078591317
2021-08-27,3.3395952497036614
2021-08-28,3.714895340599029
2021-08-29,3.536240013277011
2021-08-30,4.40837000565571
2021-08-31,4.175747337069502
2021-09-01,4.0101193965683235
2021-09-02,4.588524972482304
2021-09-03,5.109386080377568
2021-09-04,4.645870105017323
2021-09-05,4.426847905227733
2021-09-06,4.985648041952819
2021-09-07,5.789314164477194
2021-09-08,6.22763856381912
2021-09-09,5.77346038451333
2021-09-10,5.440123131912326
2021-09-11,5.147192989109729
2021-09-12,4.725229294373555
2021-09-13,4.541441309428956
2021-09-14,3.863721299986181
2021-09-15,3.7048062423729045
2021-09-16,3.481139069564958
2021-09-17,3.3268982795311985
2021-09-18,3.751424041460231
2021-09-19,3.3268687597792628
2021-09-20,3.091822669006866
2021-09-21,2.9967805536919387
2021-09-22,3.371959246126948
2021-09-23,3.2414858644624376
2021-09-24,3.091219310797534
2021-09-25,2.966510985166715
2021-09-26,2.8686218966445653
2021-09-27,2.938399897943282
2021-09-28,2.8603448270026233
2021-09-29,2.8772323148480754
2021-09-30,2.7985509340217396
2021-10-01,2.911865998781719
2021-10-02,3.0673835165441883
2021-10-03,3.05875685767076
2021-10-04,2.8175342245978108
2021-10-05,2.5618954352015297
2021-10-06,2.1139829337005276
2021-10-07,2.1816048454730934
2021-10-08,2.241223312062273
2021-10-09,2.124952643443441
2021-10-10,1.9525638141394106
2021-10-11,1.7500414854409208
2021-10-12,1.945702121476447
2021-10-13,1.7843236055384517
2021-10-14,1.802359882818501
2021-10-15,1.8160589814364465
2021-10-16,1.7496668329541478
2021-10-17,1.744842718016515
2021-10-18,1.6722508901528907
2021-10-19,1.5543929782150638
2021-10-20,1.779570476741029
2021-10-21,2.1515109879173075
2021-10-22,2.303611009768388
2021-10-23,2.2648454352777936
2021-10-24,2.3390953696953214
2021-10-25,2.3262797117358733
2021-10-26,2.2811512287493145
2021-10-27,2.101170723659535
2021-10-28,2.14985137581259
2021-10-29,2.1325668122132413
2021-10-30,2.0583221678277495
2021-10-31,2.1726934561188505
2021-11-01,2.185008031480668
2021-11-02,2.297980152261166
2021-11-03,2.6112801127643057
2021-11-04,2.72962392769517
2021-11-05,2.5570358400461983
2021-11-06,2.823558984623783
2021-11-07,2.558665186951723
2021-11-08,2.298978704479827
2021-11-09,2.1856375346806907
2021-11-10,2.1866219148796273
2021-11-11,2.17442438119103
2021-11-12,2.116508615867732
2021-11-13,2.2565560275453547
2021-11-14,2.1437397609310818
2021-11-15,2.2037188438073856
2021-11-16,2.105913429297072
2021-11-17,2.0698587018197427
2021-11-18,1.8962202993507007
2021-11-19,2.1025541394034426
2021-11-20,2.041777503416973
2021-11-21,2.254952667140548
2021-11-22,2.1488695403614955
2021-11-23,2.1459476621123073
2021-11-24,2.0990837827950957
2021-11-25,1.9085171531454368
2021-11-26,1.8728938921603666
2021-11-27,1.817399827953765
2021-11-28,1.7901703534226805
2021-11-29,1.7998410453507965
2021-11-30,1.8847196163761488
2021-12-01,2.1447214490563318
2021-12-02,2.223496259807465
2021-12-03,2.048140714419877
2021-12-04,2.1426107247158526
2021-12-05,2.036888321005866
2021-12-06,1.9183812091881234
2021-12-07,1.8431027761785899
2021-12-08,1.9000068907919403
2021-12-09,1.8456169266917977
2021-12-10,1.648476642197663
2021-12-11,1.5838479233388154
2021-12-12,1.5574427860887765
2021-12-13,1.4425576784909884
2021-12-14,1.4105045460773336
2021-12-15,1.667306521018962
2021-12-16,1.704109928276225
2021-12-17,1.7557882480039835
2021-12-18,1.8196816282355712
2021-12-19,1.7721536623061396
2021-12-20,1.6490477124557152
2021-12-21,1.620200340612255
2021-12-22,1.6041426072014013
2021-12-23,1.6440520437477415
2021-12-24,1.634513408584392
2021-12-25,1.6855874531356294
2021-12-26,1.7227796064144876
2021-12-27,1.6837790010915292
2021-12-28,1.5784954183999484
2021-12-29,1.5297612583823328
2021-12-30,1.5110933878032302
2021-12-31,1.5131898873161782
2022-01-01,1.5508908378793522
2022-01-02,1.5282593637629627
2022-01-03,1.4761447936144922
2022-01-04,1.462461471790068
2022-01-05,1.3831757572119527
2022-01-06,1.322157001739845
2022-01-07,1.1701436847657842
2022-01-08,1.2580267055638237
2022-01-09,1.2122875797395747
2022-01-10,1.127678760043152
2022-01-11,1.1424335582559428
2022-01-12,1.2581572554188043
2022-01-13,1.2343340330806705
2022-01-14,1.2012414722269642
2022-01-15,1.2173221176981106
2022-01-16,1.2151046476245386
2022-01-17,1.124843410893846
2022-01-18,1.1396520206555927
2022-01-19,1.0706886795100614
2022-01-20,0.9752088698411521
2022-01-21,0.9301580094009051
2022-01-22,0.6518272013289577
2022-01-23,0.6880744810372267
2022-01-24,0.5085136395607049
2022-01-25,0.5497571384870629
2022-01-26,0.502456707527118
2022-01-27,0.4341266598889801
2022-01-28,0.4326709963755709
2022-01-29,0.5058192888924905
2022-01-30,0.45664938891028006
2022-01-31,0.548090410204761
2022-02-01,0.7235534383225417
2022-02-02,0.658955507050148
2022-02-03,0.6364287369000992
2022-02-04,0.6119972113498631
2022-02-05,0.6410992787152476
2022-02-06,0.615103286128978
2022-02-07,0.5804272365585156
2022-02-08,0.5013207922956541
2022-02-09,0.4950168787633327
2022-02-10,0.3923832297733363
2022-02-11,0.26646705290496875
2022-02-12,0.26118810870504977
2022-02-13,0.21227523051126043
2022-02-14,0.24934483728893223
2022-02-15,0.3116066512115268
2022-02-16,0.2823394251454908
2022-02-17,0.2677531232731608
2022-02-18,0.22309593669038016
2022-02-19,0.2424167408525559
2022-02-20,0.3027416408727973
2022-02-21,0.20556929242637625
2022-02-22,0.21436052184772278
2022-02-23,0.22446102923680056
2022-02-24,0.25934037492010975
2022-02-25,0.2820027180342455
2022-02-26,0.23521139815206032
2022-02-27,0.20287997171046104
2022-02-28,0.22706603972641756
2022-03-01,0.1617573949597913
2022-03-02,0.2100219035429796
2022-03-03,0.17455227668253656
2022-03-04,0.17405125189658
2022-03-05,0.18622175177382744
2022-03-06,0.12396397851219398
2022-03-07,0.0867186332219677
2022-03-08,0.05585381808332107
2022-03-09,0.03428399122592288
2022-03-10,0.03207173902060058
2022-03-11,0.010984769341588112
2022-03-12,0.018905940891640705
2022-03-13,0.0063472204567818265
2022-03-14,-0.028929823943938088
2022-03-15,0.016989145795220418
2022-03-16,0.03521744635162425
2022-03-17,0.03869956004994775
2022-03-18,0.036952687068298636
2022-03-19,0.06663993767528162
2022-03-20,0.02821783347039843
2022-03-21,0.034127366116051217
2022-03-22,0.010434422135186602
2022-03-23,0.07227081360912781
2022-03-24,0.15717587751947862
2022-03-25,0.06969902934545472
2022-03-26,0.11706885017748991
2022-03-27,0.11317104219090694
2022-03-28,0.08559931678171942
2022-03-29,0.1605284221994061
2022-03-30,0.333794347536589
2022-03-31,0.43829816970257834
2022-04-01,0.6124633340306065
2022-04-02,0.5891641402444598
2022-04-03,0.6378318935826484
2022-04-04,0.5448131983712108
2022-04-05,0.49337457212772523
2022-04-06,0.3417280069635317
2022-04-07,0.43919277600597995
2022-04-08,0.3193978520619233
2022-04-09,0.35350056114934164
2022-04-10,0.35527914670913374
2022-04-11,0.23458990234978286
2022-04-12,0.28369315413983875
2022-04-13,0.25862327329184404
2022-04-14,0.2289760472622628
2022-04-15,0.20391634977707002
2022-04-16,0.22741504359023978
2022-04-17,0.22179513799585396
2022-04-18,0.1946428224637539
2022-04-19,0.2924968635368673
2022-04-20,0.2287317273417571
2022-04-21,0.189948003993264
2022-04-22,0.20454465501196628
2022-04-23,0.21837236884290706
2022-04-24,0.18091350665349273
2022-04-25,0.16674136083278343
2022-04-26,0.1723302409926707
2022-04-27,0.1631713483103942
2022-04-28,0.12410964048653504
2022-04-29,0.08924366745883057
2022-04-30,-0.07946920911275805
2022-05-01,-0.014168462795510092
2022-05-02,-0.07171066080336697
2022-05-03,-0.07488625110554896
2022-05-04,-0.02018342668551957
2022-05-05,-0.046640030949631005
2022-05-06,-0.0923049227404321
2022-05-07,-0.1378114610720952
2022-05-08,-0.15734184738309986
2022-05-09,-0.2754037451654216
2022-05-10,-0.2190823529654058
2022-05-11,-0.6203362907219255
2022-05-12,-0.8118063009348089
2022-05-13,-0.6997384336467869
2022-05-14,-0.6250072754240004
2022-05-15,-0.49668068447385777
2022-05-16,-0.5791382996341456
2022-05-17,-0.5038731095293183
2022-05-18,-0.6460379763627081
2022-05-19,-0.6592005887983643
2022-05-20,-0.6870431674211861
2022-05-21,-0.677262742438771
2022-05-22,-0.6520778712210178
2022-05-23,-0.7094886538033941
2022-05-24,-0.7250483638574815
2022-05-25,-0.7797515078927242
2022-05-26,-0.9180643548555439
2022-05-27,-0.9751579967356163
2022-05-28,-0.8731050524969171
2022-05-29,-0.890949188506907
2022-05-30,-0.9328651360646882
2022-05-31,-0.9835819598900989
2022-06-01,-1.0749633341783427
2022-06-02,-1.0871105167375679
2022-06-03,-1.143211117690736
2022-06-04,-1.12813914380101
2022-06-05,-1.147644697780473
2022-06-06,-1.0825260798985208
2022-06-07,-1.170553811961019
2022-06-08,-1.1509910882433556
2022-06-09,-1.110220513233949
2022-06-10,-1.1637527736725382
2022-06-11,-1.2486938976963777
2022-06-12,-1.2937328968327502
2022-06-13,-1.189856798361441
2022-06-14,-1.107286787039913
2022-06-15,-0.9186024979190023
2022-06-16,-0.978318814226297
2022-06-17,-0.9503716547305064
2022-06-18,-0.7804567449121742
2022-06-19,-0.7905729473191455
2022-06-20,-0.7400747333102036
2022-06-21,-0.7194509061546207
2022-06-22,-0.762016871375282
2022-06-23,-0.6604616542323877
2022-06-24,-0.482015609864441
2022-06-25,-0.50669315389472
2022-06-26,-0.6093067736505756
2022-06-27,-0.6344129985015288
2022-06-28,-0.7559661748366104
2022-06-29,-0.8197450721843821
2022-06-30,-0.8101854172141724
2022-07-01,-0.8092860283261469
2022-07-02,-0.780328200284475
2022-07-03,-0.7881818611328244
2022-07-04,-0.6993153027901267
2022-07-05,-0.7727660590341976
2022-07-06,-0.7226560322643237
2022-07-07,-0.7521183093728037
2022-07-08,-0.7759371841906315
2022-07-09,-0.7788738541752641
2022-07-10,-0.7879065810829141
2022-07-11,-0.8826662193917135
2022-07-12,-0.8663152217154261
2022-07-13,-0.8367235537317015
2022-07-14,-0.758076760673587
2022-07-15,-0.7724412201865332
2022-07-16,-0.6995453246617718
2022-07-17,-0.7139345461416302
2022-07-18,-0.6251873446331893
2022-07-19,-0.6601682856154142
2022-07-20,-0.7866274108093562
2022-07-21,-0.7340360296549664
2022-07-22,-0.825804780801387
2022-07-23,-0.8385822952366849
2022-07-24,-0.8094367054565315
2022-07-25,-0.9242621055403389
2022-07-26,-0.9481366786231994
2022-07-27,-0.8940215029852069
2022-07-28,-0.8569218120409859
2022-07-29,-0.9054138518219397
2022-07-30,-0.8101036203150963
2022-07-31,-0.85499485355139
2022-08-01,-0.8906947171343851
2022-08-02,-0.9710411860040717
2022-08-03,-1.0285313139408063
2022-08-04,-1.0010082046930937
2022-08-05,-0.9768209136825395
2022-08-06,-0.9799183251130882
2022-08-07,-0.9779361336608138
2022-08-08,-0.9622632910774325
2022-08-09,-1.0043255767035095
2022-08-10,-0.9796327442794259
2022-08-11,-0.9643740417239712
2022-08-12,-0.8850089569010003
2022-08-13,-0.8359536435573631
2022-08-14,-0.9131671367763506
2022-08-15,-0.957611059374345
2022-08-16,-0.9717173785418067
2022-08-17,-1.0690278461541067
2022-08-18,-1.1045464953739084
2022-08-19,-1.08637565551391
2022-08-20,-1.153253668821009
2022-08-21,-1.1168425314476207
2022-08-22,-1.1671759527464711
2022-08-23,-1.1707369068810067
2022-08-24,-1.1996436748525643
2022-08-25,-1.1998180805782528
2022-08-26,-1.2865196624693096
2022-08-27,-1.2747026253483107
2022-08-28,-1.3021570944086274
2022-08-29,-1.2364342416928424
2022-08-30,-1.2472527589397078
2022-08-31,-1.2634742480656231
2022-09-01,-1.259100514075994
2022-09-02,-1.2597336675092698
2022-09-03,-1.2466562579447908
2022-09-04,-1.1934065958358446
2022-09-05,-1.1644380638735194
2022-09-06,-1.139619862885368
2022-09-07,-1.0649499314432682
2022-09-08,-1.0074971193002737
2022-09-09,-1.1445084596344341
2022-09-10,-1.145303667559611
2022-09-11,-1.157688559868281
2022-09-12,-1.0686665271660234
2022-09-13,-1.0957276876845532
2022-09-14,-1.0431709625134338
2022-09-15,-1.0460198701034273
2022-09-16,-1.1009828140772266
2022-09-17,-1.0350592340926563
2022-09-18,-1.1264192026904387
2022-09-19,-1.0289157760464687
2022-09-20,-1.0339241173568305
2022-09-21,-1.0307417412638409
2022-09-22,-1.0159458860740085
2022-09-23,-0.9157011339781805
2022-09-24,-0.88322077404191
2022-09-25,-0.9375470029658315
2022-09-26,-0.8789600076664672
2022-09-27,-0.9351970308135683
2022-09-28,-0.933723895558679
2022-09-29,-0.898755250952572
2022-09-30,-0.9257025036287033
2022-10-01,-0.9555458362932784
2022-10-02,-0.9480421288497654
2022-10-03,-0.94711063181987
2022-10-04,-0.9446403313861378
2022-10-05,-0.9240695945975185
2022-10-06,-0.9436620326946179
2022-10-07,-0.9168721697965971
2022-10-08,-0.9252004217419361
2022-10-09,-0.9020235899518191
2022-10-10,-0.9256504715923882
2022-10-11,-0.9901882028762466
2022-10-12,-0.9710940756052139
2022-10-13,-1.030210114830557
2022-10-14,-1.039952614398138
2022-10-15,-1.051008589083034
2022-10-16,-1.027750223025749
2022-10-17,-0.983913842759289
2022-10-18,-1.0252826645408735
2022-10-19,-1.0828590130191853
2022-10-20,-1.121835473748367
2022-10-21,-1.125369596553702
2022-10-22,-1.1286379193598535
2022-10-23,-1.076242273874344
2022-10-24,-1.110527106175416
2022-10-25,-1.0104418188034079
2022-10-26,-1.0462455195861653
2022-10-27,-1.0359026739766228
2022-10-28,-0.9694636253067573
2022-10-29,-0.9405274941638869
2022-10-30,-0.9115446822632591
2022-10-31,-0.914480739239383
2022-11-01,-0.9304064876364166
2022-11-02,-0.9838147809273681
2022-11-03,-0.9808763137244699
2022-11-04,-0.8880289052178431
2022-11-05,-0.7202104192798852
2022-11-06,-0.9270111437690738
2022-11-07,-1.0824751761200668
2022-11-08,-1.2485595522839117
2022-11-09,-1.7828735370971736
2022-11-10,-1.6109808359105242
2022-11-11,-1.6623241068917944
2022-11-12,-1.7713382608452226
2022-11-13,-1.83935232294161
2022-11-14,-1.7815390097026915
2022-11-15,-1.7671455690265059
2022-11-16,-1.7452031775355743
2022-11-17,-1.7864888585049783
2022-11-18,-1.8059698896159426
2022-11-19,-1.8278957278409889
2022-11-20,-1.8397179149103318
2022-11-21,-1.8350551454546316
2022-11-22,-1.8046362342064979
2022-11-23,-1.6749245880230554
2022-11-24,-1.6504219388993302
2022-11-25,-1.6773676738433265
2022-11-26,-1.657894455362546
2022-11-27,-1.651685880624926
2022-11-28,-1.6843565535548726
2022-11-29,-1.6934811658458462
2022-11-30,-1.6743238182421436
2022-12-01,-1.7066260398859188
2022-12-02,-1.6942088129039399
2022-12-03,-1.7109391096651845
2022-12-04,-1.6903015116679463
2022-12-05,-1.6685805622545717
2022-12-06,-1.6358249119538404
2022-12-07,-1.6758479575179237
2022-12-08,-1.6827328882763206
2022-12-09,-1.680601486912152
2022-12-10,-1.6737721935419207
2022-12-11,-1.6767112464860874
2022-12-12,-1.6841712881249526
2022-12-13,-1.6702417578461906
2022-12-14,-1.6403754410703193
2022-12-15,-1.6165545647528932
2022-12-16,-1.7086817598325963
2022-12-17,-1.6946423752240338
2022-12-18,-1.6980265818178397
2022-12-19,-1.7164161485175007
2022-12-20,-1.7116006711950031
2022-12-21,-1.7146911887349556
2022-12-22,-1.7392491618511698
2022-12-23,-1.7349175407170156
2022-12-24,-1.7638614424752965
2022-12-25,-1.766864180058193
2022-12-26,-1.7781827497534197
2022-12-27,-1.7852632063254592
2022-12-28,-1.8902005422945451
2022-12-29,-1.9005462449138346
2022-12-30,-1.8749386758052702
2022-12-31,-1.862148443298665
2023-01-01,-1.8632964556744098
2023-01-02,-1.7501136990263049
2023-01-03,-1.5614320468810174
2023-01-04,-1.5661509673676393
2023-01-05,-1.5642669496098778
2023-01-06,-1.5607935252885683
2023-01-07,-1.5961118950668216
2023-01-08,-1.4913003639977906
2023-01-09,-1.3161513807240115
2023-01-10,-1.3437215083908434
2023-01-11,-1.3663964469641514
2023-01-12,-1.4154541117333448
2023-01-13,-1.353667474199215
2023-01-14,-0.9678505466427655
2023-01-15,-1.06565675479239
2023-01-16,-1.0345892660882203
2023-01-17,-1.0866904732881872
2023-01-18,-1.2088916258245013
2023-01-19,-1.19320800475993
2023-01-20,-1.0026117115396511
2023-01-21,-1.0773117716748952
2023-01-22,-1.0974062863368217
2023-01-23,-1.1002969841672454
2023-01-24,-1.189256290506529
2023-01-25,-1.0870952706648578
2023-01-26,-1.0912384380057305
2023-01-27,-1.0847720505769252
2023-01-28,-1.107168764132712
2023-01-29,-1.001386959784416
2023-01-30,-1.084006677006762
2023-01-31,-1.101793960415146
2023-02-01,-1.0656989468027622
2023-02-02,-1.095756423211289
2023-02-03,-1.0583174689873909
2023-02-04,-1.0717994573081384
2023-02-05,-1.1007062282865854
2023-02-06,-1.141857087419389
2023-02-07,-1.0872185466541349
2023-02-08,-1.1081640418852534
2023-02-09,-1.2344589599448395
2023-02-10,-1.2417063789921043
2023-02-11,-1.1943908430404706
2023-02-12,-1.1273299850701792
2023-02-13,-1.1800288579988418
2023-02-14,-1.1220564310650998
2023-02-15,-1.115491629492355
2023-02-16,-1.179589116170843
2023-02-17,-1.1738394345106222
2023-02-18,-1.1499892998345291
2023-02-19,-1.021621118759792
2023-02-20,-0.9564457068952008
2023-02-21,-1.0113542776852131
